Reporting starts,Reporting ends,Campaign name,Reach,Impressions,Link clicks,Landing page views,Post engagement,3-second video plays,ThruPlays,Post comments,Post saves,Post reactions,Post shares,Video plays at 50%,Leads,Amount Spent
30/12/2021,30/12/2021,0016_CPE_Egypt_Oct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPV_ND_KSA_Sept'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPMR_KSA_ND_Sep'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_CPA_CRM_Sept'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPV_KSA_Sept'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPE_Egypt_Sept'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_Remarketing_Sept'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPC_KSA_Sept'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_Remarketing_Conversion_Sept'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPC_Egypt_Sept'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPLPV_Egypt_Sept'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_CPA_PreOrder_Sept'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPMR_Egypt_Sept'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Egypt_CPA_Aug'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPLPV_KSA_Aug'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Remarketing_CPC_KSA_Aug'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPC_KSA_Aug'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPLPV_Egypt_Aug'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPMR_KSA_Aug'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPE_Egypt_Aug'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPC_Egypt_Aug'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPMR_Egypt_Aug'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Remarketing_UAE_JulyAugSepOct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPL_Qatar_July'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPMR_UAE_JulyAugSeptOct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPA_UAE_Conversions_Orders_JulyAugSepOct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPLPV_UAE _JulyAugSepOct'21_Copy,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPLPV_UAE_JulyAugSepOct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Awareness_CPC_UAE_JulyAugSepOct'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPC_Egypt_July'21 – Copy,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPC_Egypt_July'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPE_Egypt_July'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPL_Egypt_July'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPMR_Egypt_July'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPMR_KSA_July'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPMR_KSA_June'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPA_Qatar_May'21_SignUps,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_Remarketing_Qatar_May'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPA_Qatar_May'21_LPV,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPC_Egypt_June'21_ABTest,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPC_Egypt_June'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPMR_Egypt_June'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPE_Egypt_June'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPL_Egypt_June'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPLPV_Qatar_May'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_CPMR_Qatar_May'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPC_ABTest_Egypt_May'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPC_Egypt_May'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPMR_Egypt_May'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPE_Egypt_May'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPL_Egypt_May'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPL_Egypt_April'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPC_Egypt_April'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPMR_Egypt_April'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPE_Egypt_April'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPL_Egypt_Mar'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPMR_Egypt_Mar'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPC_Egypt_Mar'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPE_Egypt_Mar'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPMR_Egypt_Feb'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPC_Egypt_Feb'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPL_Egypt_Feb'21_02,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPL_Egypt_Feb'21_01,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_L_CPE_Egypt_Feb'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_PL_CPC_Egypt_Jan'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_PL_CPMR_Egypt_Jan'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_PL_CPL_Egypt_Jan'21,0,0,,,,,,,,,,,,0
30/12/2021,30/12/2021,0016_PL_CPE_Egypt_Jan'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPE_Egypt_Dec'21,0,0,,,,,,,,,,,1,0
29/12/2021,29/12/2021,0016_Egypt_CPC_Dec'21,53841,59839,71,8,2940,2836,284,,4,29,,499,,96.61
29/12/2021,29/12/2021,0016_CPLPV_Egypt_Dec'21,27192,28408,37,28,68,,,2,8,17,4,,,152.46
29/12/2021,29/12/2021,0016_Egypt_Remarketing_Dec'21,16092,18146,14,3,23,,,,2,7,,,,43.79
29/12/2021,29/12/2021,0016_CPC_KSA_Dec'21,142497,147091,283,127,359,,,,11,49,16,,,727.07
29/12/2021,29/12/2021,0016_CPMR_Auction_Egypt_Dec'21,81217,83431,175,17,6414,6220,521,4,2,11,2,1416,,99.43
29/12/2021,29/12/2021,0016_Egypt_CPA_PreOrder_Dec'21,6396,6819,15,13,30,,,,4,9,2,,1,72.89
29/12/2021,29/12/2021,0016_Egypt_CPA_CRM_Dec'21,7504,7630,9,5,22,,,,5,8,,,,74.04
29/12/2021,29/12/2021,0016_CPMR_KSA_Dec'21,69713,71934,10,1,4672,4655,297,,1,6,,473,,203.01
29/12/2021,29/12/2021,New campaign,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPMR_TEST_UAE_Nov'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPLPV_KSA_Nov'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPMR_KSA_Nov'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPMR_Auction_Egypt_Nov'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Egypt_CPC_Nov'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPE_Egypt_Nov'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Egypt_Remarketing_Nov'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPLPV_Egypt_Nov'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Egypt_CPA_CRM_Nov'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Egypt_CPA_PreOrder_Nov'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Remarketing_CPC_KSA_Oct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPMR_KSA_Oct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPLPV_KSA_Oct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPMR_Auction_Egypt_Oct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Egypt_CPC_Oct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Egypt_Remarketing_Oct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPMR_R&F_Egypt_Oct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPLPV_Egypt_Oct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Egypt_CPA_PreOrder_Oct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Egypt_CPA_CRM_Oct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPE_Egypt_Oct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPV_ND_KSA_Sept'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPMR_KSA_ND_Sep'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Egypt_CPA_CRM_Sept'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPV_KSA_Sept'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPE_Egypt_Sept'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Egypt_Remarketing_Sept'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPC_KSA_Sept'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Egypt_Remarketing_Conversion_Sept'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPC_Egypt_Sept'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPLPV_Egypt_Sept'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Egypt_CPA_PreOrder_Sept'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPMR_Egypt_Sept'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Egypt_CPA_Aug'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPLPV_KSA_Aug'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Remarketing_CPC_KSA_Aug'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPC_KSA_Aug'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPLPV_Egypt_Aug'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPMR_KSA_Aug'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPE_Egypt_Aug'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPC_Egypt_Aug'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPMR_Egypt_Aug'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Remarketing_UAE_JulyAugSepOct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPL_Qatar_July'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPMR_UAE_JulyAugSeptOct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPA_UAE_Conversions_Orders_JulyAugSepOct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPLPV_UAE _JulyAugSepOct'21_Copy,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_CPLPV_UAE_JulyAugSepOct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_Awareness_CPC_UAE_JulyAugSepOct'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_L_CPC_Egypt_July'21 – Copy,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_L_CPC_Egypt_July'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_L_CPE_Egypt_July'21,0,0,,,,,,,,,,,,0
29/12/2021,29/12/2021,0016_L_CPL_Egypt_July'21,0,0,,,,,,,,,,,,0
